gpu,strike,hour,touch_price,terminal_tail_upper_normalized,wedge_lower_bound
B200,7.5,496434,0.517,0.09000900090009001,0.42699099909991
B200,7.5,496435,0.5205,0.08936550491510277,0.4311344950848972
B200,7.5,496436,0.534,0.08952551477170995,0.4444744852282901
B200,7.5,496437,0.5335,0.08972633467922836,0.4437736653207716
B200,7.5,496438,0.5335,0.08916629514043692,0.44433370485956303
B200,7.5,496439,0.5335,0.08884940026654821,0.4446505997334518
B200,7.5,496440,0.5335,0.08791208791208792,0.44558791208791204
B200,7.5,496441,0.536,0.08845643520566121,0.4475435647943388
B200,7.5,496442,0.5295,0.0880281690140845,0.44147183098591547
B200,7.5,496443,0.524,0.08798944126704795,0.4360105587329521
B200,7.5,496444,0.5275,0.0882223202470225,0.4392776797529775
B200,7.5,496445,0.5215,0.08853474988933158,0.4329652501106684
B200,7.5,496446,0.533,0.08845643520566121,0.4445435647943388
B200,7.5,496447,0.5335,0.08853474988933158,0.4449652501106684
B200,7.5,496448,0.5315,0.08841732979664015,0.44308267020335984
B200,7.5,496449,0.534,0.08916629514043692,0.4448337048595631
B200,7.5,496450,0.5275,0.08853474988933158,0.4389652501106684
B200,7.5,496451,0.527,0.08888888888888889,0.4381111111111111
B200,7.5,496452,0.5225,0.08857395925597875,0.4339260407440212
B200,7.5,496453,0.525,0.08904719501335709,0.4359528049866429
B200,7.5,496454,0.5335,0.08057296329453895,0.45292703670546103
B200,7.5,496455,0.5315,0.08014247551202137,0.4513575244879786
B200,7.5,496456,0.5305,0.0801068090787717,0.45039319092122826
B200,7.5,496457,0.5315,0.08014247551202137,0.4513575244879786
B200,7.5,496458,0.526,0.0796812749003984,0.44631872509960163
B200,7.5,496459,0.5275,0.0844069302532208,0.4430930697467792
B200,7.5,496460,0.5265,0.08455718736092568,0.4419428126390743
B200,7.5,496461,0.525,0.08410801239486498,0.44089198760513504
B200,7.5,496462,0.533,0.08414526129317981,0.44885473870682024
B200,7.5,496463,0.5305,0.08399646330680814,0.4465035366931918
B200,7.5,496464,0.525,0.08436944937833037,0.44063055062166967
B200,7.5,496465,0.525,0.08410801239486498,0.44089198760513504
B200,7.5,496466,0.534,0.08395934600088378,0.45004065399911625
B200,7.5,496467,0.521,0.07954043305346885,0.44145956694653116
B200,7.5,496468,0.5285,0.07971656333038087,0.4487834366696191
B200,7.5,496469,0.529,0.08111762054979721,0.4478823794502028
B200,7.5,496470,0.527,0.08039303260384101,0.446606967396159
B200,7.5,496471,0.5265,0.08075370121130551,0.44574629878869443
B200,7.5,496472,0.526,0.08057296329453895,0.4454270367054611
B200,7.5,496473,0.536,0.08021390374331551,0.45578609625668454
B200,7.5,496474,0.535,0.08075370121130551,0.4542462987886945
B200,7.5,496475,0.5345,0.08082622361921868,0.4536737763807813
B200,7.5,496476,0.5335,0.08086253369272237,0.45263746630727764
B200,7.5,496477,0.533,0.08097165991902834,0.4520283400809717
B200,7.5,496478,0.528,0.08097165991902834,0.4470283400809717
B200,7.5,496479,0.5345,0.08104457451598379,0.4534554254840162
B200,7.5,496480,0.5205,0.07975188303057155,0.4407481169694284
B200,7.5,496481,0.521,0.08130081300813008,0.43969918699186994
B200,7.5,496482,0.52,0.07961079168509508,0.4403892083149049
B200,7.5,496483,0.5195,0.08144796380090498,0.438052036199095
B200,7.5,496484,0.5185,0.08093525179856116,0.4375647482014388
B200,7.5,496485,0.519,0.08068130883012102,0.438318691169879
B200,7.5,496486,0.5185,0.08104457451598379,0.43745542548401617
B200,7.5,496487,0.5185,0.08075370121130551,0.4377462987886944
B200,7.5,496488,0.521,0.08126410835214447,0.43973589164785554
B200,7.5,496489,0.521,0.08089887640449438,0.44010112359550563
B200,7.5,496490,0.521,0.08097165991902834,0.4400283400809717
B200,7.5,496491,0.521,0.08097165991902834,0.4400283400809717
B200,7.5,496492,0.5195,0.08082622361921868,0.4386737763807813
B200,7.5,496493,0.52,0.08082622361921868,0.43917377638078137
B200,7.5,496494,0.52,0.08075370121130551,0.4392462987886945
B200,7.5,496495,0.52,0.08078994614003591,0.4392100538599641
B200,7.5,496496,0.52,0.08082622361921868,0.43917377638078137
B200,7.5,496497,0.52,0.081008100810081,0.438991899189919
B200,7.5,496498,0.52,0.08108108108108109,0.43891891891891893
B200,7.5,496499,0.5195,0.081008100810081,0.43849189918991893
B200,7.5,496500,0.5195,0.08093525179856116,0.4385647482014388
B200,7.5,496501,0.5195,0.0811541929666366,0.43834580703336334
B200,7.5,496502,0.5195,0.08,0.43949999999999995
B200,7.5,496503,0.5195,0.0800711743772242,0.43942882562277574
B200,7.5,496504,0.5185,0.07647323436797122,0.44202676563202875
B200,7.5,496505,0.5185,0.07723761926397092,0.441262380736029
B200,7.5,496506,0.5185,0.07737824305871643,0.4411217569412835
B200,7.5,496507,0.518,0.07727272727272727,0.44072727272727275
B200,7.5,496508,0.5175,0.07720254314259764,0.4402974568574023
B200,7.5,496509,0.5175,0.07692307692307693,0.44057692307692303
B200,7.5,496510,0.5055,0.07678410117434509,0.42871589882565486
B200,7.5,496511,0.504,0.07737824305871643,0.42662175694128357
B200,7.5,496512,0.5025,0.07723761926397092,0.425262380736029
