ticker,event,gpu,rule,actual_rule,base_outcome,direction,radius_log,radius_pct
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,median7,terminal,no,up,,
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,median7,terminal,no,down,,
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,month_mean,terminal,no,up,0.217603370939,24.3093922652
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,month_mean,terminal,no,down,,
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,touch,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,touch,terminal,no,down,,
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,terminal,terminal,yes,up,,
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,terminal,terminal,yes,down,0.0790073322575,8.22122571001
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,mean5,terminal,yes,up,,
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,mean5,terminal,yes,down,0.424883193965,52.9411764706
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,median7,terminal,yes,up,,
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,median7,terminal,yes,down,,
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,month_mean,terminal,yes,up,,
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,month_mean,terminal,yes,down,0.459074558714,58.2608695652
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,touch,terminal,yes,up,,
KXB200W-26JUL17-6.69,KXB200W-26JUL17,b200,touch,terminal,yes,down,,
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,terminal,terminal,yes,up,,
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,terminal,terminal,yes,down,0.263560794673,30.1556420233
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,mean5,terminal,yes,up,,
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,mean5,terminal,yes,down,0.709726309363,103.343465046
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,median7,terminal,yes,up,,
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,median7,terminal,yes,down,,
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,month_mean,terminal,yes,up,,
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,month_mean,terminal,yes,down,0.709726309363,103.343465046
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,touch,terminal,yes,up,,
KXB200W-26JUL10-5.14,KXB200W-26JUL10,b200,touch,terminal,yes,down,,
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,terminal,terminal,yes,up,,
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,terminal,terminal,yes,down,0.132975682691,14.2222222222
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,mean5,terminal,yes,up,,
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,mean5,terminal,yes,down,0.427055740701,53.2738095238
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,median7,terminal,no,up,0.0089286307443,0.896860986547
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,median7,terminal,no,down,,
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,month_mean,terminal,yes,up,,
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,month_mean,terminal,yes,down,0.466514577441,59.4427244582
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,touch,terminal,yes,up,,
KXB200W-26JUL03-4.5,KXB200W-26JUL03,b200,touch,terminal,yes,down,,
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,terminal,terminal,yes,up,,
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,terminal,terminal,yes,down,0.0454623740768,4.6511627907
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,mean5,terminal,yes,up,,
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,mean5,terminal,yes,down,0.137985742974,14.7959183673
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,median7,terminal,yes,up,,
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,median7,terminal,yes,down,0.016147986408,1.62790697674
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,month_mean,terminal,yes,up,,
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,month_mean,terminal,yes,down,0.112795494145,11.9402985075
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,touch,terminal,yes,up,,
KXB200W-26JUN26-4.3,KXB200W-26JUN26,b200,touch,terminal,yes,down,,
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,terminal,terminal,yes,up,,
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,terminal,terminal,yes,down,0.0172121288811,1.73611111111
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,mean5,terminal,no,up,0.0198026272962,2.0
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,mean5,terminal,no,down,,
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,median7,terminal,no,up,0.00347826437633,0.348432055749
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,median7,terminal,no,down,,
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,month_mean,terminal,no,up,0.0861776962411,9.0
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,month_mean,terminal,no,down,,
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,touch,terminal,yes,up,,
KXH100W-26AUG28-2.88,KXH100W-26AUG28,h100-sxm,touch,terminal,yes,down,,
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,terminal,terminal,yes,up,,
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,terminal,terminal,yes,down,0.0317486983146,3.22580645161
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,mean5,terminal,yes,up,,
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,mean5,terminal,yes,down,0.195566783544,21.6
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,median7,terminal,yes,up,,
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,median7,terminal,yes,down,0.0317486983146,3.22580645161
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,month_mean,terminal,yes,up,,
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,month_mean,terminal,yes,down,0.0894065877156,9.35251798561
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,touch,terminal,yes,up,,
KXH100W-26AUG21-2.79,KXH100W-26AUG21,h100-sxm,touch,terminal,yes,down,,
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,terminal,terminal,yes,up,,
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,terminal,terminal,yes,down,0.0402248013105,4.10447761194
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,mean5,terminal,yes,up,,
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,mean5,terminal,yes,down,0.0254097155254,2.57352941176
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,median7,terminal,no,up,0.00373832211061,0.374531835206
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,median7,terminal,no,down,,
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,month_mean,terminal,no,up,0.0352149062911,3.58422939068
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,month_mean,terminal,no,down,,
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,touch,terminal,yes,up,,
KXH100W-26AUG14-2.68,KXH100W-26AUG14,h100-sxm,touch,terminal,yes,down,,
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,terminal,terminal,no,up,0.0294138852063,2.98507462687
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,terminal,terminal,no,down,,
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,mean5,terminal,no,up,0.130770231183,13.9705882353
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,mean5,terminal,no,down,,
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,median7,terminal,no,up,,
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,median7,terminal,no,down,,
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,month_mean,terminal,no,up,0.202340423684,22.4264705882
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,month_mean,terminal,no,down,,
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,touch,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXH100W-26AUG07-2.76,KXH100W-26AUG07,h100-sxm,touch,terminal,no,down,,
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,terminal,terminal,yes,up,,
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,terminal,terminal,yes,down,0.0109290705322,1.0989010989
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,mean5,terminal,yes,up,,
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,mean5,terminal,yes,down,0.0181493185057,1.8315018315
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,median7,terminal,no,up,0.00366972888896,0.367647058824
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,median7,terminal,no,down,,
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,month_mean,terminal,no,up,0.0457021534809,4.67625899281
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,month_mean,terminal,no,down,,
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,touch,terminal,yes,up,,
KXH100W-26JUL31-2.73,KXH100W-26JUL31,h100-sxm,touch,terminal,yes,down,,
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,terminal,terminal,yes,up,,
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,terminal,terminal,yes,down,0.0297419691987,3.01886792453
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,mean5,terminal,yes,up,,
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,mean5,terminal,yes,down,0.112303569892,11.8852459016
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,median7,terminal,yes,up,,
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,median7,terminal,yes,down,,
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,month_mean,terminal,yes,up,,
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,month_mean,terminal,yes,down,0.145639990159,15.6779661017
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,touch,terminal,yes,up,,
KXH100W-26JUL24-2.65,KXH100W-26JUL24,h100-sxm,touch,terminal,yes,down,,
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,terminal,terminal,yes,up,,
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,terminal,terminal,yes,down,0.0503007384748,5.15873015873
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,mean5,terminal,yes,up,,
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,mean5,terminal,yes,down,0.210216316813,23.3944954128
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,median7,terminal,yes,up,,
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,median7,terminal,yes,down,,
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,month_mean,terminal,yes,up,,
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,month_mean,terminal,yes,down,0.214814026061,23.9631336406
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,touch,terminal,yes,up,,
KXH100W-26JUL17-2.52,KXH100W-26JUL17,h100-sxm,touch,terminal,yes,down,,
